text,category,sentiment,priority,cleaned_text
Does this product come with a warranty,product_inquiry,positive,medium,does product come warranty
I love the new interface you released this week Can someone assist me?,feedback,neutral,medium,love new interface released week assist
I need to merge two accounts Please help me.,account,neutral,medium,need merge accounts help
I am considering switching to a competitor,complaint,negative,medium,considering switching competitor
My return was rejected but the item was faulty This is urgent.,returns,neutral,low,return rejected item faulty urgent
I have not received my refund after 2 weeks I am very frustrated.,returns,negative,low,received refund weeks frustrated
My invoice shows an incorrect amount I am very frustrated.,billing,negative,high,invoice shows incorrect frustrated
I need to change my email address,account,neutral,high,need change email address
I have not received my refund after 2 weeks I am very frustrated.,returns,negative,low,received refund weeks frustrated
My payment was declined but money left my account I am very frustrated.,billing,negative,medium,payment declined money left account frustrated
My order was returned to sender This is urgent.,shipping,negative,low,order returned sender urgent
The feature is not working as expected This is urgent.,technical_support,neutral,high,feature working expected urgent
My data is not syncing between devices This is urgent.,technical_support,neutral,urgent,data syncing devices urgent
Can I use the product on multiple devices,product_inquiry,neutral,medium,use product multiple devices
This is the third time I have had this problem I have been waiting for days.,complaint,negative,high,time problem waiting days
I need to change my email address Thank you in advance.,account,neutral,low,need change email address thank advance
I have a suggestion for improving the checkout process,feedback,positive,medium,suggestion improving checkout process
Would love to see monthly billing as an option Thank you in advance.,feedback,positive,medium,love monthly billing option thank advance
I forgot my password and cannot reset it Can someone assist me?,account,neutral,low,forgot password reset assist
What are the specifications of your premium plan I have been waiting for days.,product_inquiry,positive,low,specifications premium plan waiting days
I need to merge two accounts Can someone assist me?,account,neutral,medium,need merge accounts assist
Thank you for resolving my issue so quickly This is urgent.,feedback,neutral,low,thank resolving issue quickly urgent
I love the new interface you released this week This is urgent.,feedback,neutral,low,love new interface released week urgent
I can't update my credit card information Can someone assist me?,billing,negative,urgent,update credit card information assist
I am considering switching to a competitor,complaint,negative,high,considering switching competitor
I want to delete my account and all my data This is urgent.,account,neutral,low,want delete account data urgent
This is the third time I have had this problem Can someone assist me?,complaint,negative,high,time problem assist
Nobody is responding to my previous emails Please help me.,complaint,negative,high,responding previous emails help
How long will my order take to arrive Can someone assist me?,shipping,negative,high,long order arrive assist
I received the wrong item in my package I have been waiting for days.,shipping,negative,low,received wrong item package waiting days
I need to merge two accounts Please help me.,account,neutral,high,need merge accounts help
Please help me update my profile information,account,neutral,low,help update profile information
I need to merge two accounts I am very frustrated.,account,neutral,medium,need merge accounts frustrated
I cannot verify my email address Please help me.,account,neutral,high,verify email address help
I received the wrong item in my package I have been waiting for days.,shipping,negative,low,received wrong item package waiting days
How long do refunds take to process Please help me.,returns,neutral,medium,long refunds process help
My order was returned to sender This is urgent.,shipping,negative,high,order returned sender urgent
How long do refunds take to process I am very frustrated.,returns,negative,low,long refunds process frustrated
I have not received my refund after 2 weeks I have been waiting for days.,returns,neutral,medium,received refund weeks waiting days
My package was marked delivered but I did not receive it Please help me.,shipping,negative,medium,package marked delivered did receive help
I forgot my password and cannot reset it This is urgent.,account,neutral,low,forgot password reset urgent
The app crashes every time I open it I am very frustrated.,technical_support,neutral,urgent,app crashes time open frustrated
My invoice shows an incorrect amount I am very frustrated.,billing,negative,urgent,invoice shows incorrect frustrated
I cannot upload files through the platform Can someone assist me?,technical_support,neutral,urgent,upload files platform assist
I can't update my credit card information I am very frustrated.,billing,neutral,high,update credit card information frustrated
Why was I charged more than I expected Can someone assist me?,billing,negative,urgent,charged expected assist
The tracking number is not updating Can someone assist me?,shipping,neutral,high,tracking number updating assist
I want to cancel my subscription and get a refund Please help me.,billing,negative,high,want cancel subscription refund help
How does the cancellation policy work This is urgent.,product_inquiry,positive,medium,does cancellation policy work urgent
My invoice shows an incorrect amount Thank you in advance.,billing,negative,high,invoice shows incorrect thank advance
Your service has gone downhill significantly,complaint,negative,medium,service gone downhill significantly
Your service has gone downhill significantly I am very frustrated.,complaint,negative,high,service gone downhill significantly frustrated
I want to exchange my item for a different size Please help me.,returns,neutral,low,want exchange item different size help
Your service has gone downhill significantly Can someone assist me?,complaint,negative,high,service gone downhill significantly assist
I am very unhappy with the service I received,complaint,negative,medium,unhappy service received
Would love to see monthly billing as an option I have been waiting for days.,feedback,positive,medium,love monthly billing option waiting days
I need to change my delivery address Please help me.,shipping,negative,low,need change delivery address help
Would love to see monthly billing as an option This is urgent.,feedback,positive,low,love monthly billing option urgent
My account has been locked out I am very frustrated.,account,neutral,medium,account locked frustrated
I can't update my credit card information This is urgent.,billing,negative,high,update credit card information urgent
I forgot my password and cannot reset it I am very frustrated.,account,neutral,low,forgot password reset frustrated
The website is showing an error 500 Can someone assist me?,technical_support,neutral,urgent,website showing error 500 assist
The customer support team was incredibly helpful Can someone assist me?,feedback,positive,low,customer support team incredibly helpful assist
Why was I charged more than I expected I am very frustrated.,billing,neutral,high,charged expected frustrated
Nobody is responding to my previous emails Thank you in advance.,complaint,negative,medium,responding previous emails thank advance
Thank you for resolving my issue so quickly Please help me.,feedback,positive,low,thank resolving issue quickly help
Thank you for resolving my issue so quickly Can someone assist me?,feedback,positive,medium,thank resolving issue quickly assist
I think the mobile app needs a dark mode Thank you in advance.,feedback,neutral,low,think mobile app needs dark mode thank advance
Can I use the product on multiple devices Please help me.,product_inquiry,positive,low,use product multiple devices help
I am furious about how my case was handled I have been waiting for days.,complaint,negative,urgent,furious case handled waiting days
I am very unhappy with the service I received Thank you in advance.,complaint,neutral,urgent,unhappy service received thank advance
I want to cancel my subscription and get a refund I am very frustrated.,billing,negative,high,want cancel subscription refund frustrated
Can I use the product on multiple devices Can someone assist me?,product_inquiry,positive,low,use product multiple devices assist
What are the specifications of your premium plan This is urgent.,product_inquiry,positive,medium,specifications premium plan urgent
My invoice shows an incorrect amount Can someone assist me?,billing,negative,high,invoice shows incorrect assist
I need to change my email address This is urgent.,account,neutral,medium,need change email address urgent
I have been waiting 10 days for a resolution This is urgent.,complaint,negative,urgent,waiting 10 days resolution urgent
Thank you for resolving my issue so quickly,feedback,neutral,medium,thank resolving issue quickly
Please help me update my profile information I have been waiting for days.,account,neutral,medium,help update profile information waiting days
I want to exchange my item for a different size I have been waiting for days.,returns,neutral,low,want exchange item different size waiting days
I think the mobile app needs a dark mode Please help me.,feedback,positive,medium,think mobile app needs dark mode help
I forgot my password and cannot reset it I am very frustrated.,account,neutral,medium,forgot password reset frustrated
My payment was declined but money left my account I have been waiting for days.,billing,negative,high,payment declined money left account waiting days
The feature is not working as expected Can someone assist me?,technical_support,neutral,high,feature working expected assist
I received the wrong item in my package Thank you in advance.,shipping,negative,low,received wrong item package thank advance
How long do refunds take to process Please help me.,returns,negative,low,long refunds process help
I am furious about how my case was handled This is urgent.,complaint,negative,medium,furious case handled urgent
I love the new interface you released this week Please help me.,feedback,positive,low,love new interface released week help
I am very unhappy with the service I received I am very frustrated.,complaint,negative,high,unhappy service received frustrated
I can't update my credit card information Please help me.,billing,negative,high,update credit card information help
I want to delete my account and all my data I have been waiting for days.,account,neutral,low,want delete account data waiting days
How long will my order take to arrive,shipping,negative,high,long order arrive
What is the difference between plan A and plan B Thank you in advance.,product_inquiry,neutral,medium,difference plan plan thank advance
I cannot verify my email address Please help me.,account,neutral,medium,verify email address help
Nobody is responding to my previous emails Can someone assist me?,complaint,neutral,medium,responding previous emails assist
My order has not arrived after 2 weeks This is urgent.,shipping,negative,high,order arrived weeks urgent
What are the specifications of your premium plan This is urgent.,product_inquiry,positive,low,specifications premium plan urgent
This is the third time I have had this problem Please help me.,complaint,negative,medium,time problem help
My payment was declined but money left my account I am very frustrated.,billing,neutral,urgent,payment declined money left account frustrated
I have been waiting 10 days for a resolution Can someone assist me?,complaint,negative,medium,waiting 10 days resolution assist
What features are included in the enterprise tier I have been waiting for days.,product_inquiry,positive,low,features included enterprise tier waiting days
Thank you for resolving my issue so quickly I have been waiting for days.,feedback,positive,medium,thank resolving issue quickly waiting days
I have been waiting 10 days for a resolution I have been waiting for days.,complaint,neutral,high,waiting 10 days resolution waiting days
My order has not arrived after 2 weeks,shipping,negative,low,order arrived weeks
Your agent was extremely rude and unhelpful I am very frustrated.,complaint,negative,high,agent extremely rude unhelpful frustrated
My account was hacked and I need help Can someone assist me?,account,neutral,high,account hacked need help assist
I need to merge two accounts,account,neutral,low,need merge accounts
I need to change my email address This is urgent.,account,neutral,high,need change email address urgent
Thank you for resolving my issue so quickly This is urgent.,feedback,neutral,medium,thank resolving issue quickly urgent
I need to change my email address Thank you in advance.,account,neutral,high,need change email address thank advance
My data is not syncing between devices Thank you in advance.,technical_support,neutral,high,data syncing devices thank advance
I need a refund for the duplicate charge Thank you in advance.,billing,negative,medium,need refund duplicate charge thank advance
My return was rejected but the item was faulty I am very frustrated.,returns,negative,medium,return rejected item faulty frustrated
What is the difference between plan A and plan B Please help me.,product_inquiry,positive,low,difference plan plan help
How do I initiate a return for a damaged item Please help me.,returns,negative,medium,initiate return damaged item help
Do you have a free trial available I am very frustrated.,product_inquiry,positive,medium,free trial available frustrated
I need to merge two accounts Please help me.,account,neutral,low,need merge accounts help
Please help me update my profile information Can someone assist me?,account,neutral,high,help update profile information assist
The mobile app is very slow and keeps freezing,technical_support,neutral,urgent,mobile app slow keeps freezing
The mobile app is very slow and keeps freezing This is urgent.,technical_support,neutral,urgent,mobile app slow keeps freezing urgent
Thank you for resolving my issue so quickly Please help me.,feedback,positive,low,thank resolving issue quickly help
I want to return a product I bought last week I am very frustrated.,returns,neutral,low,want return product bought week frustrated
Can I use the product on multiple devices Can someone assist me?,product_inquiry,positive,low,use product multiple devices assist
My data is not syncing between devices I have been waiting for days.,technical_support,neutral,urgent,data syncing devices waiting days
I want to return a product I bought last week I am very frustrated.,returns,negative,low,want return product bought week frustrated
I cannot verify my email address I have been waiting for days.,account,neutral,medium,verify email address waiting days
My package was marked delivered but I did not receive it This is urgent.,shipping,negative,medium,package marked delivered did receive urgent
My payment was declined but money left my account I am very frustrated.,billing,negative,urgent,payment declined money left account frustrated
I need a refund for the duplicate charge Thank you in advance.,billing,neutral,urgent,need refund duplicate charge thank advance
I need to change my email address,account,neutral,medium,need change email address
I have been waiting 10 days for a resolution This is urgent.,complaint,negative,medium,waiting 10 days resolution urgent
The website is showing an error 500 I have been waiting for days.,technical_support,neutral,high,website showing error 500 waiting days
My package was marked delivered but I did not receive it,shipping,neutral,high,package marked delivered did receive
Can I expedite my shipping Please help me.,shipping,neutral,low,expedite shipping help
I want to return a product I bought last week Can someone assist me?,returns,neutral,low,want return product bought week assist
I have been waiting 10 days for a resolution Thank you in advance.,complaint,negative,high,waiting 10 days resolution thank advance
How does the cancellation policy work I have been waiting for days.,product_inquiry,positive,medium,does cancellation policy work waiting days
I have not received my refund after 2 weeks This is urgent.,returns,negative,low,received refund weeks urgent
I want to exchange my item for a different size I am very frustrated.,returns,negative,medium,want exchange item different size frustrated
I need to change my email address I am very frustrated.,account,neutral,low,need change email address frustrated
The customer support team was incredibly helpful This is urgent.,feedback,neutral,low,customer support team incredibly helpful urgent
My order has not arrived after 2 weeks This is urgent.,shipping,negative,medium,order arrived weeks urgent
Would love to see monthly billing as an option Please help me.,feedback,positive,low,love monthly billing option help
I received the wrong item in my package Please help me.,shipping,neutral,high,received wrong item package help
I need to change my email address Please help me.,account,neutral,medium,need change email address help
I love the new interface you released this week Thank you in advance.,feedback,positive,low,love new interface released week thank advance
I need a refund for the duplicate charge I have been waiting for days.,billing,negative,medium,need refund duplicate charge waiting days
Your agent was extremely rude and unhelpful,complaint,negative,high,agent extremely rude unhelpful
I want to cancel my subscription and get a refund Can someone assist me?,billing,neutral,medium,want cancel subscription refund assist
How do I initiate a return for a damaged item Please help me.,returns,negative,medium,initiate return damaged item help
Can I expedite my shipping Please help me.,shipping,negative,low,expedite shipping help
I am considering switching to a competitor Can someone assist me?,complaint,negative,medium,considering switching competitor assist
I can't update my credit card information I have been waiting for days.,billing,negative,urgent,update credit card information waiting days
I have not received my refund after 2 weeks This is urgent.,returns,neutral,medium,received refund weeks urgent
I want to exchange my item for a different size I have been waiting for days.,returns,negative,medium,want exchange item different size waiting days
How long will my order take to arrive I am very frustrated.,shipping,negative,high,long order arrive frustrated
I received a defective product and need a replacement,returns,neutral,low,received defective product need replacement
My return was rejected but the item was faulty,returns,neutral,medium,return rejected item faulty
I am furious about how my case was handled Please help me.,complaint,neutral,medium,furious case handled help
I cannot upload files through the platform Please help me.,technical_support,neutral,medium,upload files platform help
I received a defective product and need a replacement Thank you in advance.,returns,negative,low,received defective product need replacement thank advance
I need a refund for the duplicate charge I have been waiting for days.,billing,negative,medium,need refund duplicate charge waiting days
I am very unhappy with the service I received,complaint,negative,high,unhappy service received
I need to change my email address I am very frustrated.,account,neutral,high,need change email address frustrated
What is the difference between plan A and plan B Thank you in advance.,product_inquiry,positive,medium,difference plan plan thank advance
The return window was missed due to shipping delays Thank you in advance.,returns,negative,low,return window missed shipping delays thank advance
I cannot upload files through the platform I am very frustrated.,technical_support,neutral,urgent,upload files platform frustrated
I want to exchange my item for a different size I am very frustrated.,returns,negative,low,want exchange item different size frustrated
Nobody is responding to my previous emails This is urgent.,complaint,negative,urgent,responding previous emails urgent
I want to return a product I bought last week I have been waiting for days.,returns,negative,low,want return product bought week waiting days
I need to change my email address Thank you in advance.,account,neutral,low,need change email address thank advance
Your agent was extremely rude and unhelpful Can someone assist me?,complaint,negative,medium,agent extremely rude unhelpful assist
The mobile app is very slow and keeps freezing Please help me.,technical_support,neutral,urgent,mobile app slow keeps freezing help
My order has not arrived after 2 weeks I have been waiting for days.,shipping,negative,medium,order arrived weeks waiting days
Your service has gone downhill significantly Please help me.,complaint,neutral,high,service gone downhill significantly help
This is the third time I have had this problem Thank you in advance.,complaint,negative,urgent,time problem thank advance
Thank you for resolving my issue so quickly Can someone assist me?,feedback,positive,medium,thank resolving issue quickly assist
My payment was declined but money left my account Please help me.,billing,neutral,medium,payment declined money left account help
I want to exchange my item for a different size,returns,negative,low,want exchange item different size
My return was rejected but the item was faulty Please help me.,returns,negative,medium,return rejected item faulty help
Please help me update my profile information Can someone assist me?,account,neutral,medium,help update profile information assist
I received a defective product and need a replacement Thank you in advance.,returns,neutral,low,received defective product need replacement thank advance
My package was marked delivered but I did not receive it I have been waiting for days.,shipping,negative,medium,package marked delivered did receive waiting days
Your agent was extremely rude and unhelpful This is urgent.,complaint,negative,high,agent extremely rude unhelpful urgent
I want to return a product I bought last week,returns,negative,medium,want return product bought week
My return was rejected but the item was faulty Please help me.,returns,neutral,low,return rejected item faulty help
The tracking number is not updating I have been waiting for days.,shipping,neutral,high,tracking number updating waiting days
How long will my order take to arrive Can someone assist me?,shipping,negative,medium,long order arrive assist
My payment was declined but money left my account Can someone assist me?,billing,negative,high,payment declined money left account assist
The website is showing an error 500 I have been waiting for days.,technical_support,neutral,medium,website showing error 500 waiting days
I am very unhappy with the service I received I am very frustrated.,complaint,negative,high,unhappy service received frustrated
My account was hacked and I need help Please help me.,account,neutral,low,account hacked need help help
Your platform is one of the best I have used,feedback,positive,low,platform best used
I love the new interface you released this week Can someone assist me?,feedback,positive,low,love new interface released week assist
My data is not syncing between devices This is urgent.,technical_support,neutral,high,data syncing devices urgent
My invoice shows an incorrect amount Please help me.,billing,negative,medium,invoice shows incorrect help
My account has been locked out I have been waiting for days.,account,neutral,medium,account locked waiting days
My order has not arrived after 2 weeks I have been waiting for days.,shipping,negative,high,order arrived weeks waiting days
What are the specifications of your premium plan Please help me.,product_inquiry,neutral,low,specifications premium plan help
How long do refunds take to process Thank you in advance.,returns,neutral,low,long refunds process thank advance
Does this product come with a warranty This is urgent.,product_inquiry,positive,medium,does product come warranty urgent
Your service has gone downhill significantly I have been waiting for days.,complaint,negative,high,service gone downhill significantly waiting days
My order was returned to sender This is urgent.,shipping,neutral,low,order returned sender urgent
My package was marked delivered but I did not receive it Thank you in advance.,shipping,neutral,medium,package marked delivered did receive thank advance
I want to return a product I bought last week This is urgent.,returns,negative,medium,want return product bought week urgent
I want to exchange my item for a different size Can someone assist me?,returns,negative,low,want exchange item different size assist
I am getting a server error when I try to submit,technical_support,neutral,high,getting server error try submit
Your agent was extremely rude and unhelpful Please help me.,complaint,negative,urgent,agent extremely rude unhelpful help
Please help me update my profile information I am very frustrated.,account,neutral,high,help update profile information frustrated
Your agent was extremely rude and unhelpful,complaint,negative,urgent,agent extremely rude unhelpful
The feature is not working as expected Please help me.,technical_support,neutral,urgent,feature working expected help
The tracking number is not updating This is urgent.,shipping,negative,high,tracking number updating urgent
How do I initiate a return for a damaged item Can someone assist me?,returns,neutral,low,initiate return damaged item assist
Overall great experience but the loading is a bit slow I am very frustrated.,feedback,positive,low,overall great experience loading bit slow frustrated
Does this product come with a warranty Can someone assist me?,product_inquiry,positive,low,does product come warranty assist
I cannot upload files through the platform I am very frustrated.,technical_support,neutral,medium,upload files platform frustrated
The customer support team was incredibly helpful Thank you in advance.,feedback,positive,low,customer support team incredibly helpful thank advance
The website is showing an error 500 I have been waiting for days.,technical_support,neutral,urgent,website showing error 500 waiting days
What features are included in the enterprise tier Can someone assist me?,product_inquiry,neutral,low,features included enterprise tier assist
I cannot log in to my account I have been waiting for days.,technical_support,neutral,urgent,log account waiting days
The website is showing an error 500 Thank you in advance.,technical_support,neutral,medium,website showing error 500 thank advance
I need to change my email address Thank you in advance.,account,neutral,high,need change email address thank advance
What features are included in the enterprise tier Can someone assist me?,product_inquiry,positive,low,features included enterprise tier assist
I need a refund for the duplicate charge Can someone assist me?,billing,negative,high,need refund duplicate charge assist
This is the third time I have had this problem Please help me.,complaint,negative,high,time problem help
I want to delete my account and all my data Please help me.,account,neutral,medium,want delete account data help
My account was hacked and I need help Can someone assist me?,account,neutral,medium,account hacked need help assist
I am getting a server error when I try to submit Thank you in advance.,technical_support,neutral,urgent,getting server error try submit thank advance
I have not received my refund after 2 weeks Please help me.,returns,negative,low,received refund weeks help
Does this product come with a warranty I am very frustrated.,product_inquiry,positive,low,does product come warranty frustrated
What are the specifications of your premium plan I have been waiting for days.,product_inquiry,positive,low,specifications premium plan waiting days
The customer support team was incredibly helpful Please help me.,feedback,neutral,low,customer support team incredibly helpful help
Would love to see monthly billing as an option,feedback,positive,low,love monthly billing option
Your service has gone downhill significantly,complaint,negative,high,service gone downhill significantly
I cannot log in to my account I am very frustrated.,technical_support,neutral,urgent,log account frustrated
The return window was missed due to shipping delays Thank you in advance.,returns,negative,low,return window missed shipping delays thank advance
Please help me update my profile information,account,neutral,low,help update profile information
What is the difference between plan A and plan B I have been waiting for days.,product_inquiry,positive,low,difference plan plan waiting days
Nobody is responding to my previous emails Please help me.,complaint,neutral,medium,responding previous emails help
Can I expedite my shipping I have been waiting for days.,shipping,negative,high,expedite shipping waiting days
Overall great experience but the loading is a bit slow I am very frustrated.,feedback,positive,medium,overall great experience loading bit slow frustrated
I received a defective product and need a replacement I have been waiting for days.,returns,negative,low,received defective product need replacement waiting days
Please help me update my profile information Thank you in advance.,account,neutral,medium,help update profile information thank advance
The website is showing an error 500 This is urgent.,technical_support,neutral,medium,website showing error 500 urgent
Nobody is responding to my previous emails,complaint,negative,high,responding previous emails
Can I expedite my shipping This is urgent.,shipping,negative,low,expedite shipping urgent
I received the wrong item in my package Please help me.,shipping,negative,high,received wrong item package help
What is the difference between plan A and plan B Can someone assist me?,product_inquiry,positive,low,difference plan plan assist
I want to exchange my item for a different size Can someone assist me?,returns,neutral,low,want exchange item different size assist
How does the cancellation policy work I have been waiting for days.,product_inquiry,positive,low,does cancellation policy work waiting days
I cannot upload files through the platform Please help me.,technical_support,neutral,high,upload files platform help
What features are included in the enterprise tier I am very frustrated.,product_inquiry,neutral,low,features included enterprise tier frustrated
My order has not arrived after 2 weeks I am very frustrated.,shipping,neutral,medium,order arrived weeks frustrated
How long do refunds take to process Can someone assist me?,returns,negative,low,long refunds process assist
I cannot log in to my account I am very frustrated.,technical_support,neutral,medium,log account frustrated
The feature is not working as expected I am very frustrated.,technical_support,neutral,high,feature working expected frustrated
I cannot upload files through the platform This is urgent.,technical_support,neutral,high,upload files platform urgent
Your platform is one of the best I have used Thank you in advance.,feedback,positive,low,platform best used thank advance
My payment was declined but money left my account This is urgent.,billing,neutral,medium,payment declined money left account urgent
Why was I charged more than I expected I have been waiting for days.,billing,neutral,urgent,charged expected waiting days
My bank account shows a charge but no confirmation Thank you in advance.,billing,negative,high,bank account shows charge confirmation thank advance
I want to cancel my subscription and get a refund I am very frustrated.,billing,negative,medium,want cancel subscription refund frustrated
The app crashes every time I open it Please help me.,technical_support,neutral,high,app crashes time open help
Nobody is responding to my previous emails I have been waiting for days.,complaint,negative,medium,responding previous emails waiting days
My package was marked delivered but I did not receive it I am very frustrated.,shipping,neutral,medium,package marked delivered did receive frustrated
Can I expedite my shipping Please help me.,shipping,neutral,high,expedite shipping help
My order was returned to sender,shipping,negative,medium,order returned sender
I forgot my password and cannot reset it This is urgent.,account,neutral,medium,forgot password reset urgent
I cannot log in to my account Can someone assist me?,technical_support,neutral,urgent,log account assist
My bank account shows a charge but no confirmation Thank you in advance.,billing,negative,urgent,bank account shows charge confirmation thank advance
I can't update my credit card information Thank you in advance.,billing,negative,medium,update credit card information thank advance
I received the wrong item in my package,shipping,negative,high,received wrong item package
Is this service available in my country This is urgent.,product_inquiry,positive,medium,service available country urgent
My payment was declined but money left my account I have been waiting for days.,billing,negative,high,payment declined money left account waiting days
I have been waiting 10 days for a resolution I am very frustrated.,complaint,negative,medium,waiting 10 days resolution frustrated
What are the specifications of your premium plan Can someone assist me?,product_inquiry,positive,low,specifications premium plan assist
I am considering switching to a competitor,complaint,negative,medium,considering switching competitor
I cannot verify my email address Please help me.,account,neutral,low,verify email address help
What features are included in the enterprise tier,product_inquiry,neutral,low,features included enterprise tier
I want to return a product I bought last week Thank you in advance.,returns,negative,low,want return product bought week thank advance
The return window was missed due to shipping delays I have been waiting for days.,returns,negative,medium,return window missed shipping delays waiting days
Why was I charged more than I expected,billing,negative,high,charged expected
How do I initiate a return for a damaged item I have been waiting for days.,returns,negative,medium,initiate return damaged item waiting days
I need to merge two accounts This is urgent.,account,neutral,medium,need merge accounts urgent
I can't update my credit card information Please help me.,billing,negative,urgent,update credit card information help
I forgot my password and cannot reset it Please help me.,account,neutral,medium,forgot password reset help
I am very unhappy with the service I received This is urgent.,complaint,negative,medium,unhappy service received urgent
I was charged twice for my subscription this month I am very frustrated.,billing,neutral,medium,charged twice subscription month frustrated
The tracking number is not updating I am very frustrated.,shipping,neutral,high,tracking number updating frustrated
The customer support team was incredibly helpful,feedback,positive,medium,customer support team incredibly helpful
I can't update my credit card information Please help me.,billing,negative,medium,update credit card information help
I want to return a product I bought last week I am very frustrated.,returns,neutral,low,want return product bought week frustrated
Do you have a free trial available Please help me.,product_inquiry,neutral,medium,free trial available help
How long will my order take to arrive This is urgent.,shipping,neutral,low,long order arrive urgent
Is this service available in my country Thank you in advance.,product_inquiry,positive,low,service available country thank advance
I have not received my refund after 2 weeks I am very frustrated.,returns,negative,low,received refund weeks frustrated
Your agent was extremely rude and unhelpful,complaint,negative,medium,agent extremely rude unhelpful
Overall great experience but the loading is a bit slow Please help me.,feedback,positive,medium,overall great experience loading bit slow help
I received a defective product and need a replacement This is urgent.,returns,negative,low,received defective product need replacement urgent
The feature is not working as expected I have been waiting for days.,technical_support,neutral,urgent,feature working expected waiting days
I am considering switching to a competitor Please help me.,complaint,negative,high,considering switching competitor help
How do I initiate a return for a damaged item I have been waiting for days.,returns,neutral,medium,initiate return damaged item waiting days
My account was hacked and I need help I am very frustrated.,account,neutral,high,account hacked need help frustrated
I have not received my refund after 2 weeks I am very frustrated.,returns,negative,low,received refund weeks frustrated
The app crashes every time I open it Please help me.,technical_support,neutral,medium,app crashes time open help
Is this service available in my country Please help me.,product_inquiry,neutral,medium,service available country help
I think the mobile app needs a dark mode Thank you in advance.,feedback,positive,low,think mobile app needs dark mode thank advance
My account has been locked out Thank you in advance.,account,neutral,low,account locked thank advance
I need a refund for the duplicate charge I am very frustrated.,billing,neutral,medium,need refund duplicate charge frustrated
Why was I charged more than I expected This is urgent.,billing,negative,urgent,charged expected urgent
Nobody is responding to my previous emails Can someone assist me?,complaint,negative,urgent,responding previous emails assist
Please help me update my profile information This is urgent.,account,neutral,medium,help update profile information urgent
The app crashes every time I open it,technical_support,neutral,high,app crashes time open
How do I initiate a return for a damaged item,returns,neutral,low,initiate return damaged item
The website is showing an error 500 Please help me.,technical_support,neutral,high,website showing error 500 help
What features are included in the enterprise tier Can someone assist me?,product_inquiry,neutral,low,features included enterprise tier assist
This is the third time I have had this problem,complaint,negative,medium,time problem
My account has been locked out Please help me.,account,neutral,high,account locked help
I want to delete my account and all my data,account,neutral,high,want delete account data
The tracking number is not updating Can someone assist me?,shipping,negative,medium,tracking number updating assist
I need to merge two accounts,account,neutral,low,need merge accounts
I cannot verify my email address Please help me.,account,neutral,low,verify email address help
I am getting a server error when I try to submit This is urgent.,technical_support,neutral,medium,getting server error try submit urgent
This is the third time I have had this problem,complaint,negative,medium,time problem
Would love to see monthly billing as an option This is urgent.,feedback,positive,medium,love monthly billing option urgent
Thank you for resolving my issue so quickly This is urgent.,feedback,positive,low,thank resolving issue quickly urgent
Do you have a free trial available I have been waiting for days.,product_inquiry,neutral,medium,free trial available waiting days
My data is not syncing between devices This is urgent.,technical_support,neutral,high,data syncing devices urgent
I love the new interface you released this week Thank you in advance.,feedback,positive,low,love new interface released week thank advance
I need a refund for the duplicate charge,billing,negative,medium,need refund duplicate charge
I have been waiting 10 days for a resolution,complaint,negative,high,waiting 10 days resolution
I was charged twice for my subscription this month,billing,negative,high,charged twice subscription month
I want to exchange my item for a different size I am very frustrated.,returns,negative,low,want exchange item different size frustrated
My data is not syncing between devices,technical_support,neutral,urgent,data syncing devices
Your platform is one of the best I have used Can someone assist me?,feedback,positive,low,platform best used assist
I cannot upload files through the platform I have been waiting for days.,technical_support,neutral,medium,upload files platform waiting days
I am furious about how my case was handled,complaint,negative,urgent,furious case handled
I love the new interface you released this week Please help me.,feedback,positive,low,love new interface released week help
I forgot my password and cannot reset it,account,neutral,high,forgot password reset
How long do refunds take to process I am very frustrated.,returns,negative,low,long refunds process frustrated
My order has not arrived after 2 weeks Please help me.,shipping,negative,high,order arrived weeks help
I was charged twice for my subscription this month I am very frustrated.,billing,negative,medium,charged twice subscription month frustrated
Your platform is one of the best I have used I am very frustrated.,feedback,neutral,medium,platform best used frustrated
How long do refunds take to process Please help me.,returns,negative,medium,long refunds process help
Why was I charged more than I expected Can someone assist me?,billing,negative,high,charged expected assist
My bank account shows a charge but no confirmation I have been waiting for days.,billing,negative,medium,bank account shows charge confirmation waiting days
My invoice shows an incorrect amount I have been waiting for days.,billing,negative,high,invoice shows incorrect waiting days
I cannot verify my email address I have been waiting for days.,account,neutral,high,verify email address waiting days
I think the mobile app needs a dark mode Please help me.,feedback,neutral,low,think mobile app needs dark mode help
I need to change my email address Please help me.,account,neutral,low,need change email address help
How long will my order take to arrive I am very frustrated.,shipping,negative,high,long order arrive frustrated
Would love to see monthly billing as an option This is urgent.,feedback,positive,low,love monthly billing option urgent
I want to return a product I bought last week Can someone assist me?,returns,negative,low,want return product bought week assist
My data is not syncing between devices This is urgent.,technical_support,neutral,high,data syncing devices urgent
Your platform is one of the best I have used I have been waiting for days.,feedback,positive,medium,platform best used waiting days
This is the third time I have had this problem Please help me.,complaint,negative,high,time problem help
Your service has gone downhill significantly,complaint,negative,medium,service gone downhill significantly
I want to exchange my item for a different size This is urgent.,returns,negative,low,want exchange item different size urgent
I want to delete my account and all my data,account,neutral,high,want delete account data
Nobody is responding to my previous emails,complaint,negative,medium,responding previous emails
Can I use the product on multiple devices Thank you in advance.,product_inquiry,neutral,low,use product multiple devices thank advance
